variant,mode,target,magnitude,n_prompts,mean_keyword_fraction,sem_keyword_fraction,n_coherence_graded,mean_coherence,sem_coherence
neg_alpha_32x,sae_additive,feat_71839,16.0,30,0.1746946366073755,0.02394147078062912,30,1.0,0.0
neg_alpha_32x,sae_additive,feat_71839,20.0,30,0.432591127740225,0.08615024675137346,30,1.0,0.0
neg_alpha_8x,raw_dom,raw_dom,-20.0,30,0.0,0.0,30,0.6,0.09097176522946841
neg_alpha_8x,raw_dom,raw_dom,-16.0,30,0.0,0.0,30,0.9333333333333333,0.04632055558531008
neg_alpha_8x,raw_dom,raw_dom,-12.0,30,0.0,0.0,30,1.0666666666666667,0.04632055558531008
neg_alpha_8x,raw_dom,raw_dom,-8.0,30,0.0,0.0,30,1.4333333333333333,0.12395154163756698
neg_alpha_8x,raw_dom,raw_dom,-4.0,30,0.00046948356807511736,0.00046948356807511736,30,2.8333333333333335,0.06920456654478331
neg_alpha_8x,raw_dom,raw_dom,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
neg_alpha_8x,raw_dom,raw_dom,4.0,30,0.012617825140314289,0.0011970112183671002,30,3.0,0.0
neg_alpha_8x,raw_dom,raw_dom,8.0,30,0.11651256782789825,0.01232510309718809,30,1.0,0.0
neg_alpha_8x,raw_dom,raw_dom,12.0,30,0.12368303487891937,0.039597620577821256,30,1.0,0.0
neg_alpha_8x,raw_dom,raw_dom,16.0,30,0.16394243534239192,0.05097944188302987,30,1.0,0.0
neg_alpha_8x,raw_dom,raw_dom,20.0,30,0.0,0.0,30,0.9333333333333333,0.04632055558531008
neg_alpha_8x,sae_additive,feat_7792,-20.0,30,0.0,0.0,30,0.7,0.08509629433967632
neg_alpha_8x,sae_additive,feat_7792,-16.0,30,0.0,0.0,30,0.8666666666666667,0.06312427686319991
neg_alpha_8x,sae_additive,feat_7792,-12.0,30,0.009441883759055464,0.003760307588351441,30,1.0,0.0
neg_alpha_8x,sae_additive,feat_7792,-8.0,30,0.017785910485484162,0.0014408925259500004,30,1.9,0.1466091841378405
neg_alpha_8x,sae_additive,feat_7792,-4.0,30,0.007175651327520115,0.00114044481477339,30,2.933333333333333,0.04632055558531008
neg_alpha_8x,sae_additive,feat_7792,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.9,0.05570860145311556
neg_alpha_8x,sae_additive,feat_7792,4.0,30,0.020622572631148594,0.0023701691850051563,30,2.433333333333333,0.1567143483321807
neg_alpha_8x,sae_additive,feat_7792,8.0,30,0.07129133604280023,0.005331039587299409,30,1.0,0.0
neg_alpha_8x,sae_additive,feat_7792,12.0,30,0.4199979892010232,0.04482845520935698,30,1.0,0.0
neg_alpha_8x,sae_additive,feat_7792,16.0,30,0.005518281345619476,0.003406027652718906,30,0.8,0.07427813527082075
neg_alpha_8x,sae_additive,feat_7792,20.0,30,0.0,0.0,30,0.2,0.07427813527082075
ratio,raw_dom,raw_dom,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.8666666666666667,0.06312427686319991
ratio,raw_dom,raw_dom,4.0,30,0.012617825140314289,0.0011970112183671002,30,3.0,0.0
ratio,raw_dom,raw_dom,8.0,30,0.11651256782789825,0.01232510309718809,30,1.0,0.0
ratio,raw_dom,raw_dom,12.0,30,0.12368303487891937,0.039597620577821256,30,1.0,0.0
ratio,raw_dom,raw_dom,16.0,30,0.16394243534239192,0.05097944188302987,30,1.0,0.0
ratio,raw_dom,raw_dom,20.0,30,0.0,0.0,30,0.9333333333333333,0.04632055558531008
ratio,sae_additive,feat_27749,0.0,30,0.0024152712454438862,0.0006641282430664564,30,2.8666666666666667,0.06312427686319991
ratio,sae_additive,feat_27749,4.0,30,0.004891111321324224,0.001167220636016055,30,2.9,0.05570860145311556
ratio,sae_additive,feat_27749,8.0,30,0.02629447833406967,0.0027648701290649167,30,2.2666666666666666,0.1656289533613338
ratio,sae_additive,feat_27749,12.0,30,0.10560346055890737,0.00434680032606214,30,1.0,0.0
