window,horizon,target,model,alpha,validation_r2,n_train,n_validation,n_test,r2,rmse,breach_auprc,breach_prevalence
8,1,future_delta,sae,10000.0,0.12044461987137678,1680,560,560,0.11979228258132935,3.4358816146850586,nan,nan
8,1,future_min,tsae,1000.0,0.8142044162554675,1680,560,560,0.8000815510749817,3.7283151149749756,nan,1.0
8,1,future_delta,tsae,1000.0,0.14952360469228687,1680,560,560,0.14523035287857056,3.385869026184082,nan,nan
8,1,future_min,txc,10000.0,0.7321675871831785,1680,560,560,0.7177951335906982,4.429640293121338,nan,1.0
8,1,future_delta,txc,10000.0,-0.01409743263674157,1680,560,560,-0.017751455307006836,3.694591760635376,nan,nan
8,1,future_min,sae_plus_txc,1000.0,0.7715025741127757,1680,560,560,0.7399792671203613,4.251969814300537,nan,1.0
8,1,future_delta,sae_plus_txc,10000.0,0.0654336709153619,1680,560,560,0.06456637382507324,3.5420289039611816,nan,nan
8,1,future_min,tsae_plus_txc,10000.0,0.766549375215501,1680,560,560,0.7563112378120422,4.116271018981934,nan,1.0
8,1,future_delta,tsae_plus_txc,10000.0,0.07175074565613193,1680,560,560,0.0698099136352539,3.532087564468384,nan,nan
8,2,future_min,axis_only,10.0,0.8502127682986688,1440,480,480,0.8346153497695923,3.3741207122802734,nan,1.0
8,2,future_delta,axis_only,0.0001,0.018236530445886134,1440,480,480,0.016924560070037842,3.7523858547210693,nan,nan
8,2,future_min,axis_position,0.1,0.8804366280079249,1440,480,480,0.8705812692642212,2.9847748279571533,nan,1.0
8,2,future_delta,axis_position,0.0001,0.17031528740301172,1440,480,480,0.1924719214439392,3.4008922576904297,nan,nan
8,2,future_min,user_axis,100.0,0.8477198222203525,1440,480,480,0.8269221186637878,3.4517056941986084,nan,1.0
8,2,future_delta,user_axis,1000.0,0.05765438330254313,1440,480,480,0.06321680545806885,3.6629719734191895,nan,nan
8,2,future_min,raw_local,1000.0,0.8865121749783951,1440,480,480,0.8761255741119385,2.920140504837036,nan,1.0
8,2,future_delta,raw_local,10000.0,0.28757149252572134,1440,480,480,0.27153629064559937,3.2301151752471924,nan,nan
8,2,future_min,raw_history,10000.0,0.8982450382022821,1440,480,480,0.8948216438293457,2.690767526626587,nan,1.0
8,2,future_delta,raw_history,10000.0,0.1926504593002919,1440,480,480,0.2172945737838745,3.3482143878936768,nan,nan
8,2,future_min,sae,1000.0,0.8410562247983966,1440,480,480,0.8226720690727234,3.493828296661377,nan,1.0
8,2,future_delta,sae,1000.0,0.10165571328167344,1440,480,480,0.12792378664016724,3.5342013835906982,nan,nan
8,2,future_min,tsae,1000.0,0.8426921314275866,1440,480,480,0.8295716643333435,3.4251835346221924,nan,1.0
8,2,future_delta,tsae,1000.0,0.12882417960135117,1440,480,480,0.11127525568008423,3.567776918411255,nan,nan
8,2,future_min,txc,10000.0,0.6347717038575451,1440,480,480,0.6560726165771484,4.865711688995361,nan,1.0
