target,datasource,target_kind,seed,tile_size,power_full_score,dc_vector_score,power_ac_score,power_ac_std,power_ac_null,cross_ac_score,cross_ac_std,cross_ac_null,dc_gain,phase_gain
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,2,32,-0.5719037130850287,0.07099202987209671,-0.4071996146590003,0.05140526558274128,-0.7136628231689308,-1.1546636220211457,0.2674863293106747,-1.5082874330876639,0.47819164453109697,-0.7474640073621455
changepoint_mode,toy_changepoint_modes_d64,classification,2,4,0.3068578643578644,0.5066582029082028,0.28335067710067713,0.055197440019896946,0.14851747259448494,0.221750888000888,0.03973618149098875,0.15892106098665698,0.22330752580752572,-0.06159978909978914
changepoint_mode,toy_changepoint_modes_d64,classification,2,8,0.15126935564435565,0.34982153263403265,0.1434491896991897,0.027831149523861082,0.09061112702656819,0.1291526529026529,0.026164508728446813,0.11059348535451477,0.20637234293484294,-0.014296536796536807
changepoint_mode,toy_changepoint_modes_d64,classification,2,16,0.12967064185814187,0.2419565503940504,0.1303650863025863,0.023735486553920323,0.1571186200065844,0.13152815934065934,0.04970088893632257,0.1270892520147551,0.11159146409146409,0.0011630730380730314
changepoint_mode,toy_changepoint_modes_d64,classification,2,32,0.13574685730935732,0.21539304445554447,0.13423357892107893,0.03024537182211011,0.15187380419288316,0.15728469447219448,0.03412445139290918,0.11805472047732109,0.08115946553446554,0.023051115551115553
changepoint_tss,toy_changepoint_modes_d64,regression,2,4,0.02165861778734064,-0.05660414419116182,0.4347529963727494,0.10215870874171268,-0.08107740905973286,0.24987480173631837,0.12267421920209762,-0.4463664738742941,-0.4913571405639112,-0.18487819463643101
changepoint_tss,toy_changepoint_modes_d64,regression,2,8,-0.10478565207029755,-0.07269539529228744,-0.06062768480412619,0.10929979801772594,-0.07158966269842164,-1.4069984277344205,0.5513273332951857,-1.116596691380869,-0.01206771048816125,-1.3463707429302942
changepoint_tss,toy_changepoint_modes_d64,regression,2,16,-0.18205994963539024,-0.028882768598355014,-0.2050578729823116,0.0766087802805903,-0.21141697327432457,-3.989202782449888,0.20435290472959344,-5.090035945911327,0.1761751043839566,-3.7841449094675763
changepoint_tss,toy_changepoint_modes_d64,regression,2,32,-0.5840592423889301,-0.025567223290733333,-0.48981519509815463,0.23955358599633303,-0.5520996719582113,-0.9392940156415911,0.18778551402993446,-1.494351724303371,0.4642479718074213,-0.44947882054343646
hedging_confidence,toy_hedging_drift_d64,regression,2,4,-0.047279283578607334,0.29349032358768073,-0.043968379804219374,0.02880753677272346,-0.054015611833408125,-0.3470537939661727,0.11677872509348673,-0.5119982018133709,0.3374587033919001,-0.30308541416195334
hedging_confidence,toy_hedging_drift_d64,regression,2,8,-0.16825378653876188,0.15079148994489616,-0.09171961753048934,0.052924820845725744,-0.09382788271867333,-1.5182863634982708,0.6869213497313069,-1.778703764036658,0.2425111074753855,-1.4265667459677815
