layer,centering,lag,pair_count,frobenius,frobenius_normalized,operator,nuclear,frobenius_boot_q025,frobenius_boot_q975
8,position,35,2020820,1.1616295887507793,0.2701128069601646,0.6668234570254731,4.374463776594654,0.2620060838758945,0.2847628191113472
8,position,36,2020272,1.1572954507432118,0.26910499328675797,0.6661570357186736,4.344496961634546,0.2610832922160625,0.28393724337220194
8,position,37,2019724,1.153110784775898,0.26813193622832215,0.6651094972120501,4.316594907192476,0.26004456728696823,0.28296527191996573
8,position,38,2019176,1.1486932300078283,0.2671047257217555,0.6638976852231113,4.29580345299777,0.25902130752801894,0.2819483675062656
8,position,39,2018628,1.144931988724599,0.26623012726928313,0.662957777832784,4.26493075217436,0.25814028829336166,0.2812388472259045
8,position,40,2018080,1.1409156870638997,0.2652962198295312,0.6618900403439424,4.234733416999161,0.2571203477680683,0.280324487388134
8,position,41,2017532,1.137061672378727,0.2644000488514855,0.6608612342909468,4.204787013881692,0.2561809912323952,0.2794622406363487
8,position,42,2016984,1.1331689749945482,0.26349488301611984,0.6599320162907305,4.171417468930481,0.25515834987163544,0.2786971665918827
8,position,43,2016436,1.1293115172831591,0.26259791143391875,0.6591401901879146,4.144455176221764,0.2542251020669937,0.27799433618783953
8,position,44,2015888,1.1257968404804215,0.2617806464245398,0.6581922774270602,4.115790380133942,0.2534791864454746,0.277305343747139
8,position,45,2015340,1.1225690436462434,0.2610300893867197,0.6575575400622368,4.097888102319226,0.2527925655245781,0.2765361227095127
8,position,46,2014792,1.1196965762454971,0.2603621568202365,0.6568052720062291,4.088102526307381,0.2521237567067146,0.27584762722253797
8,position,47,2014244,1.1172510556433939,0.25979350185422156,0.6562743014479939,4.069484009332111,0.2515072628855705,0.2753025621175766
